Vacc Period,Gender,Age,Past PCR tests,Sector,Epi Week,N_person,Rate_Positive_1K
FebB,male,16-39,0,ultra-Orthodox Jewish,07-18_07-24,5201,0.38454143433955007
FebB,male,16-39,0,ultra-Orthodox Jewish,07-25_07-31,5199,0.38468936333910364
FebB,male,16-39,1,General Jewish,07-11_07-17,36100,0.6925207756232687
FebB,male,16-39,1,General Jewish,07-18_07-24,36075,1.386001386001386
FebB,male,16-39,1,General Jewish,07-25_07-31,36025,1.9430950728660654
FebB,male,16-39,1,Arab,07-11_07-17,4668,0.42844901456726653
FebB,male,16-39,1,Arab,07-18_07-24,4666,0
FebB,male,16-39,1,Arab,07-25_07-31,4666,0.4286326618088298
FebB,male,16-39,1,ultra-Orthodox Jewish,07-11_07-17,2308,0.4332755632582322
FebB,male,16-39,1,ultra-Orthodox Jewish,07-18_07-24,2307,0.8669267446900737
FebB,male,16-39,1,ultra-Orthodox Jewish,07-25_07-31,2305,1.3015184381778742
FebB,male,16-39,2+,General Jewish,07-11_07-17,18703,0.9089450890231513
FebB,male,16-39,2+,General Jewish,07-18_07-24,18686,0.9632880231189126
FebB,male,16-39,2+,General Jewish,07-25_07-31,18668,2.410542104135419
FebB,male,16-39,2+,Arab,07-11_07-17,2776,0.36023054755043227
FebB,male,16-39,2+,Arab,07-18_07-24,2775,0
FebB,male,16-39,2+,Arab,07-25_07-31,2775,0.36036036036036034
FebB,male,16-39,2+,ultra-Orthodox Jewish,07-11_07-17,2708,0.36927621861152143
FebB,male,16-39,2+,ultra-Orthodox Jewish,07-18_07-24,2707,0.7388252678241596
FebB,male,16-39,2+,ultra-Orthodox Jewish,07-25_07-31,2705,1.1090573012939
MarA,male,16-39,0,General Jewish,07-11_07-17,160268,0.299498340280031
MarA,male,16-39,0,General Jewish,07-18_07-24,160220,0.6990388216202722
MarA,male,16-39,0,General Jewish,07-25_07-31,160108,1.2928773078172233
MarA,male,16-39,0,Arab,07-11_07-17,23054,0
MarA,male,16-39,0,Arab,07-18_07-24,23054,0
MarA,male,16-39,0,Arab,07-25_07-31,23054,0.4771406263555132
MarA,male,16-39,0,ultra-Orthodox Jewish,07-11_07-17,10350,0
MarA,male,16-39,0,ultra-Orthodox Jewish,07-18_07-24,10350,0.4830917874396135
MarA,male,16-39,0,ultra-Orthodox Jewish,07-25_07-31,10345,0.4833252779120348
MarA,male,16-39,1,General Jewish,07-11_07-17,49297,0.6694119317605534
MarA,male,16-39,1,General Jewish,07-18_07-24,49264,1.035238713868139
MarA,male,16-39,1,General Jewish,07-25_07-31,49213,1.9913437506349947
MarA,male,16-39,1,Arab,07-11_07-17,7263,0.137684152554041
MarA,male,16-39,1,Arab,07-18_07-24,7262,0.550812448361333
MarA,male,16-39,1,Arab,07-25_07-31,7258,0.41333700744006613
MarA,male,16-39,1,ultra-Orthodox Jewish,07-11_07-17,3787,0
MarA,male,16-39,1,ultra-Orthodox Jewish,07-18_07-24,3787,0
MarA,male,16-39,1,ultra-Orthodox Jewish,07-25_07-31,3787,1.3203063110641668
MarA,male,16-39,2+,General Jewish,07-11_07-17,22121,0.49726504226752855
MarA,male,16-39,2+,General Jewish,07-18_07-24,22110,0.9045680687471732
MarA,male,16-39,2+,General Jewish,07-25_07-31,22090,1.6749660479855137
MarA,male,16-39,2+,Arab,07-11_07-17,3049,0.3279763857002296
MarA,male,16-39,2+,Arab,07-18_07-24,3048,0.32808398950131235
MarA,male,16-39,2+,Arab,07-25_07-31,3047,0.6563833278634722
MarA,male,16-39,2+,ultra-Orthodox Jewish,07-11_07-17,3512,0
MarA,male,16-39,2+,ultra-Orthodox Jewish,07-18_07-24,3512,0.5694760820045558
MarA,male,16-39,2+,ultra-Orthodox Jewish,07-25_07-31,3510,1.1396011396011396
MarB,male,16-39,0,General Jewish,07-11_07-17,113706,0.3341952051782668
MarB,male,16-39,0,General Jewish,07-18_07-24,113668,0.5102579441883379
MarB,male,16-39,0,General Jewish,07-25_07-31,113610,1.0826511750726169
MarB,male,16-39,0,Arab,07-11_07-17,50146,0.03988354006301599
MarB,male,16-39,0,Arab,07-18_07-24,50144,0.0398851308232291
MarB,male,16-39,0,Arab,07-25_07-31,50142,0.1396035259861992
MarB,male,16-39,0,ultra-Orthodox Jewish,07-11_07-17,9898,0.20206102242877347
MarB,male,16-39,0,ultra-Orthodox Jewish,07-18_07-24,9896,0.10105092966855295
MarB,male,16-39,0,ultra-Orthodox Jewish,07-25_07-31,9895,0.30318342597271347
MarB,male,16-39,1,General Jewish,07-11_07-17,30879,0.45338255772531494
MarB,male,16-39,1,General Jewish,07-18_07-24,30865,0.8423780981694475
MarB,male,16-39,1,General Jewish,07-25_07-31,30839,1.880735432407017
MarB,male,16-39,1,Arab,07-11_07-17,12847,0.15567836849069822
MarB,male,16-39,1,Arab,07-18_07-24,12845,0.1557026080186843
MarB,male,16-39,1,Arab,07-25_07-31,12843,0.46718056528848395
MarB,male,16-39,1,ultra-Orthodox Jewish,07-11_07-17,2912,0
MarB,male,16-39,1,ultra-Orthodox Jewish,07-18_07-24,2912,0.3434065934065934
MarB,male,16-39,1,ultra-Orthodox Jewish,07-25_07-31,2911,0.687049124012367
MarB,male,16-39,2+,General Jewish,07-11_07-17,13479,0.5935158394539654
MarB,male,16-39,2+,General Jewish,07-18_07-24,13471,1.2619701581174374
MarB,male,16-39,2+,General Jewish,07-25_07-31,13454,1.1149100639215104
MarB,male,16-39,2+,Arab,07-11_07-17,4977,0.4018485031143259
MarB,male,16-39,2+,Arab,07-18_07-24,4975,0.4020100502512563
MarB,male,16-39,2+,Arab,07-25_07-31,4973,0.6032575909913533
MarB,male,16-39,2+,ultra-Orthodox Jewish,07-11_07-17,2048,0
MarB,male,16-39,2+,ultra-Orthodox Jewish,07-18_07-24,2048,0.48828125
MarB,male,16-39,2+,ultra-Orthodox Jewish,07-25_07-31,2047,0.9770395701025891
Apr,male,16-39,0,General Jewish,07-11_07-17,46539,0.32231032037645846
Apr,male,16-39,0,General Jewish,07-18_07-24,46524,0.4943684979795374
Apr,male,16-39,0,General Jewish,07-25_07-31,46501,0.9247112965312574
Apr,male,16-39,0,Arab,07-11_07-17,27125,0.07373271889400922
Apr,male,16-39,0,Arab,07-18_07-24,27123,0
Apr,male,16-39,0,Arab,07-25_07-31,27123,0
Apr,male,16-39,0,ultra-Orthodox Jewish,07-11_07-17,4567,0
Apr,male,16-39,0,ultra-Orthodox Jewish,07-18_07-24,4567,0.2189621195533173
Apr,male,16-39,0,ultra-Orthodox Jewish,07-25_07-31,4566,0.21901007446342532
Apr,male,16-39,1,General Jewish,07-11_07-17,10643,0.18791694071220522
Apr,male,16-39,1,General Jewish,07-18_07-24,10641,0.751809040503712
Apr,male,16-39,1,General Jewish,07-25_07-31,10633,1.5987962005078529
Apr,male,16-39,1,Arab,07-11_07-17,6447,0
Apr,male,16-39,1,Arab,07-18_07-24,6447,0
Apr,male,16-39,1,Arab,07-25_07-31,6447,0.46533271288971617
Apr,male,16-39,1,ultra-Orthodox Jewish,07-11_07-17,1293,0
Apr,male,16-39,1,ultra-Orthodox Jewish,07-18_07-24,1293,0
Apr,male,16-39,1,ultra-Orthodox Jewish,07-25_07-31,1293,0.7733952049497294
Apr,male,16-39,2+,General Jewish,07-11_07-17,4717,0.6359974560101759
Apr,male,16-39,2+,General Jewish,07-18_07-24,4714,0.21213406873143825
Apr,male,16-39,2+,General Jewish,07-25_07-31,4713,1.273074474856779
Apr,male,16-39,2+,Arab,07-11_07-17,2267,0
Apr,male,16-39,2+,Arab,07-18_07-24,2267,0
Apr,male,16-39,2+,Arab,07-25_07-31,2267,0
Apr,male,16-39,2+,ultra-Orthodox Jewish,07-11_07-17,1072,0
Apr,male,16-39,2+,ultra-Orthodox Jewish,07-18_07-24,1072,0
Apr,male,16-39,2+,ultra-Orthodox Jewish,07-25_07-31,1072,0
May,male,16-39,0,General Jewish,07-11_07-17,16941,0.2951419632843398
May,male,16-39,0,General Jewish,07-18_07-24,16936,0.6495040151157299
May,male,16-39,0,General Jewish,07-25_07-31,16925,0.413589364844904
May,male,16-39,0,Arab,07-11_07-17,5911,0
May,male,16-39,0,Arab,07-18_07-24,5911,0.1691761123329386
May,male,16-39,0,Arab,07-25_07-31,5910,0.1692047377326565
May,male,16-39,0,ultra-Orthodox Jewish,07-11_07-17,1451,0
May,male,16-39,0,ultra-Orthodox Jewish,07-18_07-24,1451,0
May,male,16-39,0,ultra-Orthodox Jewish,07-25_07-31,1451,0
May,male,16-39,1,General Jewish,07-11_07-17,3331,0
May,male,16-39,1,General Jewish,07-18_07-24,3331,0.6004202942059441
May,male,16-39,1,General Jewish,07-25_07-31,3329,2.4031240612796636
May,male,16-39,1,Arab,07-11_07-17,1375,0
May,male,16-39,1,Arab,07-18_07-24,1375,0
May,male,16-39,1,Arab,07-25_07-31,1375,0
May,male,16-39,1,ultra-Orthodox Jewish,07-11_07-17,397,0
May,male,16-39,1,ultra-Orthodox Jewish,07-18_07-24,397,0
May,male,16-39,1,ultra-Orthodox Jewish,07-25_07-31,397,0
May,male,16-39,2+,General Jewish,07-11_07-17,1523,0
May,male,16-39,2+,General Jewish,07-18_07-24,1523,0.6565988181221273
May,male,16-39,2+,General Jewish,07-25_07-31,1522,0.657030223390276
May,male,16-39,2+,Arab,07-11_07-17,530,0
May,male,16-39,2+,Arab,07-18_07-24,530,0
May,male,16-39,2+,Arab,07-25_07-31,530,0
May,male,16-39,2+,ultra-Orthodox Jewish,07-11_07-17,302,0
May,male,16-39,2+,ultra-Orthodox Jewish,07-18_07-24,302,0
May,male,16-39,2+,ultra-Orthodox Jewish,07-25_07-31,302,0
JanB,male,40-59,0,General Jewish,07-11_07-17,56147,0.5699324986196946
JanB,male,40-59,0,General Jewish,07-18_07-24,56115,1.2296177492649023
JanB,male,40-59,0,General Jewish,07-25_07-31,56046,1.6415087606608858
JanB,male,40-59,0,Arab,07-11_07-17,4894,0.6129955046996322
JanB,male,40-59,0,Arab,07-18_07-24,4891,0
JanB,male,40-59,0,Arab,07-25_07-31,4891,0.20445716622367613
JanB,male,40-59,0,ultra-Orthodox Jewish,07-11_07-17,2733,0.7317965605561654
JanB,male,40-59,0,ultra-Orthodox Jewish,07-18_07-24,2731,0.3661662394727206
JanB,male,40-59,0,ultra-Orthodox Jewish,07-25_07-31,2730,0.7326007326007326
JanB,male,40-59,1,General Jewish,07-11_07-17,22880,0.6993006993006993
JanB,male,40-59,1,General Jewish,07-18_07-24,22864,2.143107067879636
JanB,male,40-59,1,General Jewish,07-25_07-31,22815,2.9366644751260136
JanB,male,40-59,1,Arab,07-11_07-17,2390,0.41841004184100417
JanB,male,40-59,1,Arab,07-18_07-24,2389,0.8371703641691084
JanB,male,40-59,1,Arab,07-25_07-31,2387,2.0946795140343526
JanB,male,40-59,1,ultra-Orthodox Jewish,07-11_07-17,1226,0
JanB,male,40-59,1,ultra-Orthodox Jewish,07-18_07-24,1226,1.6313213703099512
JanB,male,40-59,1,ultra-Orthodox Jewish,07-25_07-31,1224,2.450980392156863
JanB,male,40-59,2+,General Jewish,07-11_07-17,19204,0.8852322432826495
JanB,male,40-59,2+,General Jewish,07-18_07-24,19187,1.7720331474435815
JanB,male,40-59,2+,General Jewish,07-25_07-31,19153,2.558345951025949
JanB,male,40-59,2+,Arab,07-11_07-17,2901,0
JanB,male,40-59,2+,Arab,07-18_07-24,2901,1.3788348845225784
JanB,male,40-59,2+,Arab,07-25_07-31,2897,0
JanB,male,40-59,2+,ultra-Orthodox Jewish,07-11_07-17,1249,0
JanB,male,40-59,2+,ultra-Orthodox Jewish,07-18_07-24,1249,0.8006405124099278
JanB,male,40-59,2+,ultra-Orthodox Jewish,07-25_07-31,1248,2.403846153846154
FebA,male,40-59,0,General Jewish,07-11_07-17,117158,0.7255159698868195
FebA,male,40-59,0,General Jewish,07-18_07-24,117073,1.1958350772594875
FebA,male,40-59,0,General Jewish,07-25_07-31,116933,1.5906544773502775
FebA,male,40-59,0,Arab,07-11_07-17,14586,0
FebA,male,40-59,0,Arab,07-18_07-24,14586,0.41135335252982314
FebA,male,40-59,0,Arab,07-25_07-31,14580,0.48010973936899864
FebA,male,40-59,0,ultra-Orthodox Jewish,07-11_07-17,4275,0
FebA,male,40-59,0,ultra-Orthodox Jewish,07-18_07-24,4275,0.7017543859649122
FebA,male,40-59,0,ultra-Orthodox Jewish,07-25_07-31,4272,1.4044943820224718
FebA,male,40-59,1,General Jewish,07-11_07-17,36106,1.0247604276297568
FebA,male,40-59,1,General Jewish,07-18_07-24,36069,1.3585073054423467
FebA,male,40-59,1,General Jewish,07-25_07-31,36020,2.0544142143253747
FebA,male,40-59,1,Arab,07-11_07-17,5065,0.19743336623889435
FebA,male,40-59,1,Arab,07-18_07-24,5064,0.3949447077409163
FebA,male,40-59,1,Arab,07-25_07-31,5062,1.185302252074279
FebA,male,40-59,1,ultra-Orthodox Jewish,07-11_07-17,1554,0
FebA,male,40-59,1,ultra-Orthodox Jewish,07-18_07-24,1554,1.287001287001287
FebA,male,40-59,1,ultra-Orthodox Jewish,07-25_07-31,1552,0.6443298969072165
FebA,male,40-59,2+,General Jewish,07-11_07-17,17259,0.5794078451822238
FebA,male,40-59,2+,General Jewish,07-18_07-24,17249,1.6812568844570699
FebA,male,40-59,2+,General Jewish,07-25_07-31,17220,3.368176538908246
FebA,male,40-59,2+,Arab,07-11_07-17,3304,0.6053268765133172
FebA,male,40-59,2+,Arab,07-18_07-24,3302,0
FebA,male,40-59,2+,Arab,07-25_07-31,3302,1.2113870381586918
FebA,male,40-59,2+,ultra-Orthodox Jewish,07-11_07-17,1032,0
FebA,male,40-59,2+,ultra-Orthodox Jewish,07-18_07-24,1032,1.937984496124031
FebA,male,40-59,2+,ultra-Orthodox Jewish,07-25_07-31,1030,2.912621359223301
FebB,male,40-59,0,General Jewish,07-11_07-17,101976,0.4412803012473523
FebB,male,40-59,0,General Jewish,07-18_07-24,101931,1.1576458584728886
FebB,male,40-59,0,General Jewish,07-25_07-31,101813,1.4340015518646931
FebB,male,40-59,0,Arab,07-11_07-17,14837,0.06739906989283548
FebB,male,40-59,0,Arab,07-18_07-24,14836,0.06740361283364789
FebB,male,40-59,0,Arab,07-25_07-31,14835,0.2696326255476913
FebB,male,40-59,0,ultra-Orthodox Jewish,07-11_07-17,4509,0
FebB,male,40-59,0,ultra-Orthodox Jewish,07-18_07-24,4509,0.22177866489243733
FebB,male,40-59,0,ultra-Orthodox Jewish,07-25_07-31,4508,0.2218278615794144
FebB,male,40-59,1,General Jewish,07-11_07-17,27401,1.167840589759498
FebB,male,40-59,1,General Jewish,07-18_07-24,27369,1.6807336767876064
FebB,male,40-59,1,General Jewish,07-25_07-31,27323,2.1959521282436043
FebB,male,40-59,1,Arab,07-11_07-17,4200,0
FebB,male,40-59,1,Arab,07-18_07-24,4200,0
FebB,male,40-59,1,Arab,07-25_07-31,4200,1.1904761904761907
FebB,male,40-59,1,ultra-Orthodox Jewish,07-11_07-17,1435,0
FebB,male,40-59,1,ultra-Orthodox Jewish,07-18_07-24,1435,0
FebB,male,40-59,1,ultra-Orthodox Jewish,07-25_07-31,1435,2.7874564459930316
FebB,male,40-59,2+,General Jewish,07-11_07-17,10424,0.9593246354566385
FebB,male,40-59,2+,General Jewish,07-18_07-24,10414,1.1522949875168043
FebB,male,40-59,2+,General Jewish,07-25_07-31,10402,2.1149778888675255
FebB,male,40-59,2+,Arab,07-11_07-17,2027,0
FebB,male,40-59,2+,Arab,07-18_07-24,2027,0.49333991119881604
FebB,male,40-59,2+,Arab,07-25_07-31,2026,0
FebB,male,40-59,2+,ultra-Orthodox Jewish,07-11_07-17,847,0
FebB,male,40-59,2+,ultra-Orthodox Jewish,07-18_07-24,847,2.3612750885478158
FebB,male,40-59,2+,ultra-Orthodox Jewish,07-25_07-31,845,0
MarA,male,40-59,0,General Jewish,07-11_07-17,61546,0.5199363078022942
MarA,male,40-59,0,General Jewish,07-18_07-24,61514,0.7803101732938843
MarA,male,40-59,0,General Jewish,07-25_07-31,61466,1.3666091823121724
MarA,male,40-59,0,Arab,07-11_07-17,14200,0
MarA,male,40-59,0,Arab,07-18_07-24,14200,0.07042253521126761
MarA,male,40-59,0,Arab,07-25_07-31,14199,0.35213747447003313
MarA,male,40-59,0,ultra-Orthodox Jewish,07-11_07-17,2942,0
MarA,male,40-59,0,ultra-Orthodox Jewish,07-18_07-24,2942,0.6798096532970768
MarA,male,40-59,0,ultra-Orthodox Jewish,07-25_07-31,2940,1.3605442176870748
MarA,male,40-59,1,General Jewish,07-11_07-17,12815,0.7023019898556379
MarA,male,40-59,1,General Jewish,07-18_07-24,12806,0.9370607527721381
MarA,male,40-59,1,General Jewish,07-25_07-31,12794,1.6413944036267
MarA,male,40-59,1,Arab,07-11_07-17,3382,0.29568302779420463
MarA,male,40-59,1,Arab,07-18_07-24,3381,0
MarA,male,40-59,1,Arab,07-25_07-31,3381,0.8873114463176576
MarA,male,40-59,1,ultra-Orthodox Jewish,07-11_07-17,760,0
MarA,male,40-59,1,ultra-Orthodox Jewish,07-18_07-24,760,2.631578947368421
MarA,male,40-59,1,ultra-Orthodox Jewish,07-25_07-31,758,3.95778364116095
MarA,male,40-59,2+,General Jewish,07-11_07-17,4804,1.0407993338884263
MarA,male,40-59,2+,General Jewish,07-18_07-24,4799,2.083767451552407
MarA,male,40-59,2+,General Jewish,07-25_07-31,4789,2.505742326164126
MarA,male,40-59,2+,Arab,07-11_07-17,1420,0
MarA,male,40-59,2+,Arab,07-18_07-24,1420,0
MarA,male,40-59,2+,Arab,07-25_07-31,1420,0.7042253521126761
MarA,male,40-59,2+,ultra-Orthodox Jewish,07-11_07-17,354,0
MarA,male,40-59,2+,ultra-Orthodox Jewish,07-18_07-24,354,0
MarA,male,40-59,2+,ultra-Orthodox Jewish,07-25_07-31,354,0
MarB,male,40-59,0,General Jewish,07-11_07-17,49479,0.4648436710523656
MarB,male,40-59,0,General Jewish,07-18_07-24,49456,0.38417987706243933
MarB,male,40-59,0,General Jewish,07-25_07-31,49437,1.152982583894654
MarB,male,40-59,0,Arab,07-11_07-17,21007,0.04760317989241681
MarB,male,40-59,0,Arab,07-18_07-24,21006,0
MarB,male,40-59,0,Arab,07-25_07-31,21006,0.38084356850423684
MarB,male,40-59,0,ultra-Orthodox Jewish,07-11_07-17,2900,0
MarB,male,40-59,0,ultra-Orthodox Jewish,07-18_07-24,2900,0.3448275862068965
MarB,male,40-59,0,ultra-Orthodox Jewish,07-25_07-31,2899,0.34494653328734043
MarB,male,40-59,1,General Jewish,07-11_07-17,8760,0.684931506849315
MarB,male,40-59,1,General Jewish,07-18_07-24,8754,1.3708019191226868
MarB,male,40-59,1,General Jewish,07-25_07-31,8742,2.173415694349119
MarB,male,40-59,1,Arab,07-11_07-17,4301,0.23250406882120436
MarB,male,40-59,1,Arab,07-18_07-24,4300,0.23255813953488375
MarB,male,40-59,1,Arab,07-25_07-31,4299,0.23261223540358222
MarB,male,40-59,1,ultra-Orthodox Jewish,07-11_07-17,667,0
MarB,male,40-59,1,ultra-Orthodox Jewish,07-18_07-24,667,0
MarB,male,40-59,1,ultra-Orthodox Jewish,07-25_07-31,667,0
MarB,male,40-59,2+,General Jewish,07-11_07-17,3414,0.5858230814294083
MarB,male,40-59,2+,General Jewish,07-18_07-24,3412,2.3446658851113713
MarB,male,40-59,2+,General Jewish,07-25_07-31,3404,1.7626321974148063
MarB,male,40-59,2+,Arab,07-11_07-17,1666,0
MarB,male,40-59,2+,Arab,07-18_07-24,1666,0
MarB,male,40-59,2+,Arab,07-25_07-31,1666,1.2004801920768307
MarB,male,40-59,2+,ultra-Orthodox Jewish,07-11_07-17,315,0
MarB,male,40-59,2+,ultra-Orthodox Jewish,07-18_07-24,315,0
MarB,male,40-59,2+,ultra-Orthodox Jewish,07-25_07-31,315,0
Apr,male,40-59,0,General Jewish,07-11_07-17,20448,0.19561815336463223
Apr,male,40-59,0,General Jewish,07-18_07-24,20444,0.29348464097045585
Apr,male,40-59,0,General Jewish,07-25_07-31,20438,0.9785693316371464
Apr,male,40-59,0,Arab,07-11_07-17,9207,0
Apr,male,40-59,0,Arab,07-18_07-24,9207,0.10861301183881829
Apr,male,40-59,0,Arab,07-25_07-31,9206,0.10862480990658266
Apr,male,40-59,0,ultra-Orthodox Jewish,07-11_07-17,1257,0
Apr,male,40-59,0,ultra-Orthodox Jewish,07-18_07-24,1257,0
Apr,male,40-59,0,ultra-Orthodox Jewish,07-25_07-31,1257,0
Apr,male,40-59,1,General Jewish,07-11_07-17,2943,0.3397893306150187
Apr,male,40-59,1,General Jewish,07-18_07-24,2942,0.3399048266485384
Apr,male,40-59,1,General Jewish,07-25_07-31,2941,1.7001020061203673
Apr,male,40-59,1,Arab,07-11_07-17,1719,0
Apr,male,40-59,1,Arab,07-18_07-24,1719,0
Apr,male,40-59,1,Arab,07-25_07-31,1719,1.7452006980802792
Apr,male,40-59,1,ultra-Orthodox Jewish,07-11_07-17,243,0
Apr,male,40-59,1,ultra-Orthodox Jewish,07-18_07-24,243,0
Apr,male,40-59,1,ultra-Orthodox Jewish,07-25_07-31,243,0
Apr,male,40-59,2+,General Jewish,07-11_07-17,1261,0
Apr,male,40-59,2+,General Jewish,07-18_07-24,1261,1.5860428231562251
Apr,male,40-59,2+,General Jewish,07-25_07-31,1259,0.7942811755361397
Apr,male,40-59,2+,Arab,07-11_07-17,667,0
Apr,male,40-59,2+,Arab,07-18_07-24,667,0
Apr,male,40-59,2+,Arab,07-25_07-31,667,1.4992503748125936
Apr,male,40-59,2+,ultra-Orthodox Jewish,07-11_07-17,131,0
Apr,male,40-59,2+,ultra-Orthodox Jewish,07-18_07-24,131,0
Apr,male,40-59,2+,ultra-Orthodox Jewish,07-25_07-31,131,0
May,male,40-59,0,General Jewish,07-11_07-17,6837,0
May,male,40-59,0,General Jewish,07-18_07-24,6837,0.1462629808395495
May,male,40-59,0,General Jewish,07-25_07-31,6836,0.5851375073142189
May,male,40-59,0,Arab,07-11_07-17,1542,0
May,male,40-59,0,Arab,07-18_07-24,1542,0
May,male,40-59,0,Arab,07-25_07-31,1542,0
May,male,40-59,0,ultra-Orthodox Jewish,07-11_07-17,387,0
May,male,40-59,0,ultra-Orthodox Jewish,07-18_07-24,387,0
May,male,40-59,0,ultra-Orthodox Jewish,07-25_07-31,387,0
May,male,40-59,1,General Jewish,07-11_07-17,873,1.1454753722794961
May,male,40-59,1,General Jewish,07-18_07-24,872,1.146788990825688
May,male,40-59,1,General Jewish,07-25_07-31,871,1.1481056257175661
May,male,40-59,1,Arab,07-11_07-17,294,0
May,male,40-59,1,Arab,07-18_07-24,294,0
May,male,40-59,1,Arab,07-25_07-31,294,0
May,male,40-59,1,ultra-Orthodox Jewish,07-11_07-17,71,0
May,male,40-59,1,ultra-Orthodox Jewish,07-18_07-24,71,0
May,male,40-59,1,ultra-Orthodox Jewish,07-25_07-31,71,0
May,male,40-59,2+,General Jewish,07-11_07-17,400,0
May,male,40-59,2+,General Jewish,07-18_07-24,400,0
May,male,40-59,2+,General Jewish,07-25_07-31,400,0
May,male,40-59,2+,Arab,07-11_07-17,121,0
May,male,40-59,2+,Arab,07-18_07-24,121,0
May,male,40-59,2+,Arab,07-25_07-31,121,0
May,male,40-59,2+,ultra-Orthodox Jewish,07-11_07-17,39,0
May,male,40-59,2+,ultra-Orthodox Jewish,07-18_07-24,39,0
May,male,40-59,2+,ultra-Orthodox Jewish,07-25_07-31,39,0
JanB,male,60+,0,General Jewish,07-11_07-17,225438,0.6609356009190998
JanB,male,60+,0,General Jewish,07-18_07-24,225289,1.047543377617194
JanB,male,60+,0,General Jewish,07-25_07-31,225053,1.6129533932007127
JanB,male,60+,0,Arab,07-11_07-17,10359,0.2896032435563278
JanB,male,60+,0,Arab,07-18_07-24,10356,0.19312475859405176
JanB,male,60+,0,Arab,07-25_07-31,10354,0.8692292833687464
JanB,male,60+,0,ultra-Orthodox Jewish,07-11_07-17,8710,0
JanB,male,60+,0,ultra-Orthodox Jewish,07-18_07-24,8710,0.5740528128587831
JanB,male,60+,0,ultra-Orthodox Jewish,07-25_07-31,8705,1.4933946008041354
JanB,male,60+,1,General Jewish,07-11_07-17,54731,1.0414573093859056
JanB,male,60+,1,General Jewish,07-18_07-24,54674,1.4815085781175694
JanB,male,60+,1,General Jewish,07-25_07-31,54593,2.2713534702251206
JanB,male,60+,1,Arab,07-11_07-17,3277,0
JanB,male,60+,1,Arab,07-18_07-24,3277,0.3051571559353067
JanB,male,60+,1,Arab,07-25_07-31,3276,0.9157509157509157
JanB,male,60+,1,ultra-Orthodox Jewish,07-11_07-17,2253,0
JanB,male,60+,1,ultra-Orthodox Jewish,07-18_07-24,2253,1.7754105636928539
JanB,male,60+,1,ultra-Orthodox Jewish,07-25_07-31,2249,1.3339261894175187
JanB,male,60+,2+,General Jewish,07-11_07-17,30735,0.6507239303725395
JanB,male,60+,2+,General Jewish,07-18_07-24,30715,1.6278691193228065
JanB,male,60+,2+,General Jewish,07-25_07-31,30665,2.9349421164193705
JanB,male,60+,2+,Arab,07-11_07-17,2084,0.4798464491362764
JanB,male,60+,2+,Arab,07-18_07-24,2083,0.9601536245799327
JanB,male,60+,2+,Arab,07-25_07-31,2081,2.402691013935608
JanB,male,60+,2+,ultra-Orthodox Jewish,07-11_07-17,1491,0
JanB,male,60+,2+,ultra-Orthodox Jewish,07-18_07-24,1491,0.670690811535882
JanB,male,60+,2+,ultra-Orthodox Jewish,07-25_07-31,1490,4.026845637583893
FebA,male,60+,0,General Jewish,07-11_07-17,103014,0.5533228493214515
FebA,male,60+,0,General Jewish,07-18_07-24,102957,0.8644385520168614
FebA,male,60+,0,General Jewish,07-25_07-31,102868,1.5942761597386943
FebA,male,60+,0,Arab,07-11_07-17,12963,0.07714263673532361
FebA,male,60+,0,Arab,07-18_07-24,12962,0.07714858818083628
FebA,male,60+,0,Arab,07-25_07-31,12961,0.46292724326826634
FebA,male,60+,0,ultra-Orthodox Jewish,07-11_07-17,5037,0.5955926146515784
FebA,male,60+,0,ultra-Orthodox Jewish,07-18_07-24,5034,0.7945967421533572
FebA,male,60+,0,ultra-Orthodox Jewish,07-25_07-31,5030,1.1928429423459246
FebA,male,60+,1,General Jewish,07-11_07-17,20444,0.635883388769321
FebA,male,60+,1,General Jewish,07-18_07-24,20431,0.9789046057461701
FebA,male,60+,1,General Jewish,07-25_07-31,20411,1.5677820782911176
FebA,male,60+,1,Arab,07-11_07-17,3187,0.31377470975839344
FebA,male,60+,1,Arab,07-18_07-24,3186,0
FebA,male,60+,1,Arab,07-25_07-31,3186,0.9416195856873822
FebA,male,60+,1,ultra-Orthodox Jewish,07-11_07-17,1041,0.9606147934678194
FebA,male,60+,1,ultra-Orthodox Jewish,07-18_07-24,1040,0.9615384615384616
FebA,male,60+,1,ultra-Orthodox Jewish,07-25_07-31,1039,1.9249278152069298
FebA,male,60+,2+,General Jewish,07-11_07-17,11103,0.7205259839682969
FebA,male,60+,2+,General Jewish,07-18_07-24,11095,1.4420910319963949
FebA,male,60+,2+,General Jewish,07-25_07-31,11079,2.798086469898005
FebA,male,60+,2+,Arab,07-11_07-17,1567,0.6381620931716656
FebA,male,60+,2+,Arab,07-18_07-24,1566,0
FebA,male,60+,2+,Arab,07-25_07-31,1566,1.277139208173691
FebA,male,60+,2+,ultra-Orthodox Jewish,07-11_07-17,607,1.6474464579901154
FebA,male,60+,2+,ultra-Orthodox Jewish,07-18_07-24,606,0
FebA,male,60+,2+,ultra-Orthodox Jewish,07-25_07-31,606,0
FebB,male,60+,0,General Jewish,07-11_07-17,17167,0.058251296091338035
FebB,male,60+,0,General Jewish,07-18_07-24,17166,0.8738203425375742
